recv_ts_unix,sender_ts_unix,frame_id,sender_est_oneway_ms,machine_clock_diff_ms,label
1779261432.088736,1779261431.1415122,160,,947.224,car_A
1779261432.7765162,1779261431.8344054,167,,942.111,car_A
1779261433.263216,1779261432.5395505,174,548.275,723.665,car_A
1779261433.6742668,1779261433.039614,179,552.396,634.653,car_A
1779261434.0742917,1779261433.4353974,183,400.472,638.894,car_A
1779261434.3953223,1779261433.837378,187,400.472,557.944,car_A
1779261434.7081773,1779261434.232409,191,398.945,475.768,car_A
1779261434.9820263,1779261434.5370648,194,398.571,444.962,car_A
1779261435.216993,1779261434.7377875,196,349.912,479.206,car_A
1779261435.4469097,1779261435.0398383,199,302.370,407.071,car_A
1779261435.663026,1779261435.242032,201,300.226,420.994,car_A
1779261435.901949,1779261435.4414234,203,301.767,460.526,car_A
1779261436.0729115,1779261435.6380022,205,249.244,434.909,car_A
1779261436.3078587,1779261435.8383093,207,246.886,469.549,car_A
1779261436.4738932,1779261436.0375366,209,246.886,436.357,car_A
1779261436.6309109,1779261436.2385206,211,298.117,392.390,car_A
1779261436.7758603,1779261436.4462135,213,300.324,329.647,car_A
1779261436.9307883,1779261436.5445714,214,304.018,386.217,car_A
1779261437.0799193,1779261436.7426207,216,253.582,337.299,car_A
1779261437.226711,1779261436.8735006,217,252.117,353.210,car_A
1779261437.337927,1779261437.0681689,219,213.717,269.758,car_A
1779261437.5080345,1779261437.164861,220,261.865,343.174,car_A
1779261437.6078043,1779261437.2639277,221,211.185,343.877,car_A
1779261437.7536178,1779261437.36472,222,211.185,388.898,car_A
1779261437.8797162,1779261437.5668552,224,199.466,312.861,car_A
1779261438.0328417,1779261437.6679518,225,199.466,364.890,car_A
1779261438.171604,1779261437.767089,226,251.610,404.515,car_A
1779261438.4166822,1779261437.9663904,228,250.856,450.292,car_A
1779261438.4657948,1779261438.066209,229,199.833,399.586,car_A
1779261438.6295516,1779261438.1647062,230,199.833,464.845,car_A
1779261438.8306332,1779261438.3714309,232,251.279,459.202,car_A
1779261439.0204906,1779261438.4734845,233,251.279,547.006,car_A
1779261439.176582,1779261438.5742502,234,251.279,602.332,car_A
1779261439.356751,1779261438.7763734,236,254.092,580.378,car_A
1779261439.5126595,1779261438.9746673,238,305.899,537.992,car_A
1779261439.651467,1779261439.172742,240,301.685,478.725,car_A
1779261439.8874304,1779261439.3681557,242,352.255,519.275,car_A
1779261440.0275078,1779261439.4690204,243,352.255,558.487,car_A
1779261440.2744923,1779261439.686193,245,310.140,588.299,car_A
1779261440.4953551,1779261439.7867677,246,310.140,708.587,car_A
1779261440.6793737,1779261439.994247,248,307.079,685.127,car_A
1779261440.903503,1779261440.1856515,250,313.110,717.851,car_A
1779261441.1033936,1779261440.403758,252,358.382,699.636,car_A
